Well Name,Stages,Top Perf,Bottom Perf,Num Perfs,Plug Depth,TVD,Capacity Top Perf,Capacity Bottom Perf,Capacity Plug,Date,IWHP,Break Pres,Start Time,End Time,Pump Time,Ave Rate,Ave Pres,Max Rate,Max Pres,ISIP,FG,Design,Avg HHP,15 minute SIP,15% HCl Acid,Slickwater,Pump Down,Total Fluid,100 Mesh,Total Proppant,100 Mesh,Delivered Total Prop,"Plexslick 957, gal","Chemplex 4-N-1, gal","Payzone 845, gal","Payzone 850, gal","Payzone 217, gal","Stim741 Gel, gal","15% HCl Acid, gal"
Silvertip A 5H,1.0,22924.0,23086.0,24.0,23105.0,12305.0,417.2,419.7,419.9,43281.0,4540.0,6430.0,0.65,0.82,0.17,62.3,10963.0,67.0,11490.0,6070.0,0.93,55.0,16740.0,,29.0,11510.0,337.0,11876.0,504040.0,504040.0,504040.0,504040.0,485.0,7.0,97.0,36.0,97.0,20.0,1206.0
Silvertip A 5H,2.0,22722.0,22885.0,24.0,22904.0,12288.0,414.2,416.7,416.9,43282.0,3980.0,6490.0,0.14,0.28,0.14,62.9,10492.0,70.1,11510.0,5680.0,0.9,55.0,16175.0,,17.0,10888.0,299.0,11204.0,501300.0,501300.0,501300.0,501300.0,337.0,4.0,92.0,34.0,92.0,20.0,715.0
Silvertip A 5H,3.0,22520.0,22683.0,24.0,22702.0,12278.0,411.2,413.6,413.9,43282.0,4480.0,8510.0,0.47,0.63,0.17,63.9,11289.0,64.8,11610.0,5840.0,0.91,55.0,17681.0,,16.0,10800.0,273.0,11089.0,502480.0,502480.0,502480.0,502480.0,356.0,4.0,90.0,34.0,90.0,20.0,681.0
Silvertip A 5H,4.0,22319.0,22481.0,24.0,22500.0,12277.0,408.2,410.6,410.9,43282.0,5210.0,7060.0,0.82,0.95,0.13,68.0,11272.0,70.5,11580.0,5990.0,0.92,55.0,18787.0,,14.0,10830.0,272.0,11116.0,496040.0,496040.0,496040.0,496040.0,308.0,4.0,90.0,34.0,90.0,20.0,599.0
Silvertip A 5H,5.0,22117.0,22280.0,24.0,22299.0,12277.0,405.2,407.6,407.9,43283.0,5120.0,7500.0,0.12,0.25,0.13,67.5,11071.0,70.8,11660.0,5896.0,0.91,55.0,18316.0,,16.0,10997.0,262.0,11274.0,500940.0,500940.0,500940.0,500940.0,308.0,4.0,92.0,35.0,92.0,10.0,652.0
Silvertip A 5H,6.0,21916.0,22078.0,24.0,22097.0,12277.0,402.2,404.6,404.9,43283.0,5110.0,7710.0,0.43,0.55,0.13,66.7,11035.0,70.4,11720.0,5744.0,0.9,55.0,18040.0,,13.0,10907.0,258.0,11178.0,499260.0,499260.0,499260.0,499260.0,298.0,4.0,92.0,34.0,92.0,10.0,554.0
Silvertip A 5H,7.0,21714.0,21877.0,24.0,21896.0,12277.0,399.2,401.6,401.9,43283.0,4780.0,7370.0,0.78,0.91,0.13,70.0,11269.0,70.8,11600.0,6030.0,0.92,55.0,19334.0,,14.0,10864.0,252.0,11130.0,502240.0,502240.0,502240.0,502240.0,342.0,4.0,92.0,34.0,92.0,10.0,575.0
Silvertip A 5H,8.0,21513.0,21675.0,24.0,21694.0,12277.0,396.2,398.6,398.9,43284.0,4860.0,7660.0,0.11,0.24,0.12,70.4,11247.0,71.0,11630.0,5850.0,0.91,55.0,19407.0,,14.0,10885.0,216.0,11115.0,505980.0,505980.0,505980.0,505980.0,328.0,4.0,92.0,34.0,92.0,10.0,596.0
Silvertip A 5H,9.0,21311.0,21474.0,24.0,21493.0,12278.0,393.2,395.6,395.9,43284.0,5300.0,,0.39,0.52,0.13,69.0,11484.0,70.0,11720.0,5947.0,0.92,55.0,19421.0,,15.0,10895.0,224.0,11133.0,506560.0,506560.0,506560.0,506560.0,454.0,4.0,92.0,34.0,92.0,10.0,609.0
Silvertip A 5H,10.0,21110.0,21272.0,24.0,21291.0,12277.0,390.1,392.6,392.9,43284.0,5160.0,7920.0,0.72,0.94,0.23,70.5,11092.0,71.0,11520.0,6180.0,0.94,55.0,19166.0,,14.0,10949.0,238.0,11201.0,502700.0,502700.0,502700.0,502700.0,389.0,4.0,92.0,34.0,92.0,10.0,588.0
Silvertip A 5H,11.0,20908.0,21071.0,24.0,21090.0,12277.0,387.1,389.6,389.9,43285.0,5040.0,,0.17,0.31,0.14,67.3,11048.0,70.5,11710.0,6068.0,0.93,55.0,18224.0,,15.0,11031.0,206.0,11252.0,503640.0,503640.0,503640.0,503640.0,340.0,4.0,93.0,35.0,93.0,10.0,633.0
Silvertip A 5H,12.0,20707.0,20869.0,24.0,20888.0,12278.0,384.1,386.6,386.8,43285.0,5270.0,,0.45,0.59,0.13,67.0,11468.0,67.6,11870.0,6175.0,0.94,55.0,18832.0,,15.0,10952.0,188.0,11155.0,501960.0,501960.0,501960.0,501960.0,418.0,4.0,92.0,35.0,92.0,10.0,636.0
Silvertip A 5H,13.0,20505.0,20668.0,24.0,20687.0,12277.0,381.1,383.5,383.8,43285.0,5280.0,8080.0,0.76,0.89,0.13,65.5,11373.0,66.0,11830.0,6240.0,0.94,55.0,18247.0,,15.0,11768.0,221.0,12004.0,500220.0,500220.0,500220.0,500220.0,375.0,4.0,100.0,37.0,100.0,30.0,633.0
Silvertip A 5H,14.0,20304.0,20466.0,24.0,20485.0,12276.0,378.1,380.5,380.8,43286.0,5570.0,8140.0,0.11,0.24,0.13,68.3,11427.0,68.9,11800.0,6126.0,0.93,55.0,19129.0,,15.0,10817.0,205.0,11037.0,497520.0,497520.0,497520.0,497520.0,473.0,4.0,91.0,34.0,91.0,10.0,628.0
Silvertip A 5H,15.0,20102.0,20265.0,24.0,20284.0,12273.0,375.1,377.5,377.8,43286.0,5380.0,8120.0,0.4,0.54,0.13,69.5,11490.0,70.6,11690.0,6189.0,0.94,55.0,19572.0,,29.0,10908.0,188.0,11125.0,502520.0,502520.0,502520.0,502520.0,449.0,7.0,92.0,34.0,92.0,10.0,1224.0
Silvertip A 5H,16.0,19901.0,20063.0,24.0,20082.0,12273.0,372.1,374.5,374.8,43286.0,5210.0,7970.0,0.75,0.88,0.13,68.7,11442.0,70.7,11710.0,6180.0,0.94,55.0,19266.0,,28.0,10873.0,212.0,11113.0,499400.0,499400.0,499400.0,499400.0,453.0,7.0,92.0,34.0,92.0,10.0,1161.0
Silvertip A 5H,17.0,19699.0,19862.0,24.0,19881.0,12274.0,369.1,371.5,371.8,43287.0,5380.0,7940.0,0.04,0.17,0.13,69.7,11327.0,70.8,11710.0,6080.0,0.93,55.0,19350.0,,13.0,10990.0,222.0,11225.0,503240.0,503240.0,503240.0,503240.0,383.0,3.0,92.0,34.0,92.0,10.0,546.0
Silvertip A 5H,18.0,19498.0,19660.0,24.0,19679.0,12268.0,366.1,368.5,368.8,43287.0,5130.0,7580.0,0.34,0.47,0.14,68.1,11274.0,71.4,11820.0,6120.0,0.93,55.0,18818.0,,14.0,10905.0,210.0,11129.0,492920.0,492920.0,492920.0,492920.0,427.0,4.0,92.0,34.0,92.0,10.0,600.0
Silvertip A 5H,19.0,19296.0,19459.0,24.0,19478.0,12255.0,363.1,365.5,365.8,43287.0,5090.0,7890.0,0.66,0.79,0.13,69.4,11360.0,71.0,11910.0,6050.0,0.93,55.0,19323.0,,14.0,10928.0,188.0,11130.0,506400.0,506400.0,506400.0,506400.0,454.0,4.0,92.0,34.0,92.0,10.0,599.0
Silvertip A 5H,20.0,19095.0,19257.0,24.0,19276.0,12246.0,360.1,362.5,362.8,43287.0,4800.0,,0.96,0.1,0.13,68.0,11124.0,70.6,11660.0,6100.0,0.93,55.0,18540.0,,15.0,11130.0,190.0,11335.0,499820.0,499820.0,499820.0,499820.0,390.0,4.0,95.0,35.0,95.0,10.0,625.0
Silvertip A 5H,21.0,18893.0,19056.0,24.0,19075.0,12244.0,357.0,359.5,359.8,43288.0,4690.0,8220.0,0.28,0.56,0.28,66.1,11152.0,72.1,11960.0,6106.0,0.93,55.0,18067.0,,15.0,11154.0,166.0,11335.0,501560.0,501560.0,501560.0,501560.0,401.0,4.0,94.0,35.0,94.0,10.0,631.0
Silvertip A 5H,22.0,18692.0,18854.0,24.0,18873.0,12240.0,354.0,356.5,356.7,43288.0,5010.0,8470.0,0.78,0.91,0.12,70.3,11373.0,71.0,11750.0,6160.0,0.94,55.0,19596.0,,15.0,10705.0,196.0,10916.0,494500.0,494500.0,494500.0,494500.0,423.0,4.0,92.0,34.0,92.0,10.0,633.0
Silvertip A 5H,23.0,18490.0,18653.0,24.0,18672.0,12239.0,351.0,353.5,353.7,43289.0,5110.0,8070.0,0.07,0.2,0.13,69.4,11419.0,71.6,11680.0,6260.0,0.95,55.0,19423.0,,15.0,10801.0,144.0,10960.0,499200.0,499200.0,499200.0,499200.0,402.0,4.0,92.0,34.0,92.0,10.0,633.0
Silvertip A 5H,24.0,18289.0,18451.0,24.0,18470.0,12237.0,348.0,350.4,350.7,43289.0,4970.0,7810.0,0.37,0.49,0.12,70.4,11336.0,71.1,11780.0,6234.0,0.94,55.0,19560.0,,15.0,10748.0,140.0,10903.0,497380.0,497380.0,497380.0,497380.0,419.0,4.0,90.0,34.0,90.0,10.0,631.0
Silvertip A 5H,25.0,18087.0,18250.0,24.0,18269.0,12233.0,345.0,347.4,347.7,43289.0,5180.0,8460.0,0.68,0.81,0.12,70.0,11419.0,71.4,11740.0,6240.0,0.94,55.0,19591.0,,15.0,10657.0,170.0,10842.0,495280.0,495280.0,495280.0,495280.0,403.0,4.0,89.0,34.0,89.0,10.0,625.0
Silvertip A 5H,26.0,17886.0,18048.0,24.0,18067.0,12230.0,342.0,344.4,344.7,43289.0,5140.0,8350.0,0.97,0.09,0.13,69.8,11349.0,70.7,11710.0,6100.0,0.93,55.0,19416.0,,14.0,10771.0,170.0,10955.0,493740.0,493740.0,493740.0,493740.0,402.0,4.0,90.0,34.0,90.0,10.0,596.0
Silvertip A 5H,27.0,17684.0,17847.0,24.0,17866.0,12228.0,339.0,341.4,341.7,43290.0,4940.0,8220.0,0.28,0.4,0.12,70.0,11243.0,70.3,11810.0,6084.0,0.93,55.0,19289.0,,14.0,10787.0,162.0,10962.0,506240.0,506240.0,506240.0,506240.0,417.0,4.0,90.0,34.0,90.0,10.0,575.0
Silvertip A 5H,28.0,17483.0,17645.0,24.0,17664.0,12226.0,336.0,338.4,338.7,43290.0,4870.0,8080.0,0.6,0.73,0.13,69.5,11399.0,71.0,11950.0,5990.0,0.92,55.0,19417.0,,16.0,11089.0,154.0,11259.0,506240.0,506240.0,506240.0,506240.0,418.0,4.0,93.0,35.0,93.0,10.0,686.0
Silvertip A 5H,29.0,17281.0,17444.0,24.0,17463.0,12223.0,333.0,335.4,335.7,43290.0,4750.0,8000.0,0.93,0.16,0.23,62.5,10884.0,68.5,11660.0,6110.0,0.93,55.0,16673.0,,15.0,11743.0,139.0,11897.0,504000.0,504000.0,504000.0,504000.0,356.0,4.0,100.0,37.0,100.0,20.0,644.0
Silvertip A 5H,30.0,17080.0,17242.0,24.0,17261.0,12220.0,330.0,332.4,332.7,43291.0,4780.0,8010.0,0.33,0.45,0.12,70.3,11025.0,71.2,12090.0,6225.0,0.94,55.0,18997.0,,15.0,10744.0,119.0,10878.0,503760.0,503760.0,503760.0,503760.0,364.0,4.0,90.0,34.0,90.0,10.0,625.0
Silvertip A 5H,31.0,16878.0,17041.0,24.0,17060.0,12215.0,327.0,329.4,329.7,43291.0,5130.0,8310.0,0.59,0.72,0.14,63.9,10796.0,70.0,11570.0,6080.0,0.93,55.0,16908.0,,15.0,10895.0,121.0,11031.0,505100.0,505100.0,505100.0,505100.0,378.0,4.0,92.0,34.0,92.0,10.0,625.0
Silvertip A 5H,32.0,16677.0,16839.0,24.0,16858.0,12211.0,324.0,326.4,326.7,43291.0,5050.0,8110.0,0.88,0.26,0.37,69.4,11217.0,71.4,11570.0,6168.0,0.94,55.0,19080.0,,15.0,13463.0,118.0,13596.0,500060.0,500060.0,500060.0,500060.0,493.0,4.0,114.0,43.0,114.0,25.0,633.0
Silvertip A 5H,33.0,16475.0,16638.0,24.0,16657.0,12206.0,320.9,323.4,323.7,43292.0,5280.0,,0.42,0.55,0.12,70.0,11421.0,71.8,11870.0,6171.0,0.94,55.0,19595.0,,15.0,10846.0,109.0,10970.0,492200.0,492200.0,492200.0,492200.0,338.0,4.0,91.0,34.0,91.0,10.0,633.0
Silvertip A 5H,34.0,16274.0,16436.0,24.0,16455.0,12199.0,317.9,320.4,320.6,43292.0,5230.0,8220.0,0.73,0.86,0.13,66.0,11165.0,69.0,11600.0,6110.0,0.93,55.0,18061.0,,15.0,11105.0,101.0,11221.0,499860.0,499860.0,499860.0,499860.0,386.0,4.0,94.0,35.0,94.0,20.0,633.0
Silvertip A 5H,35.0,16072.0,16235.0,24.0,16254.0,12194.0,314.9,317.4,317.6,43292.0,5260.0,8070.0,0.99,0.12,0.13,68.0,11331.0,70.0,11660.0,6240.0,0.95,55.0,18885.0,,15.0,10915.0,100.0,11030.0,507740.0,507740.0,507740.0,507740.0,319.0,4.0,91.0,34.0,91.0,10.0,625.0
Silvertip A 5H,36.0,15870.0,16033.0,24.0,16052.0,12192.0,311.9,314.3,314.6,43293.0,5240.0,7980.0,0.26,0.38,0.12,70.2,11263.0,71.9,11810.0,6111.0,0.93,55.0,19379.0,,14.0,10747.0,98.0,10859.0,496060.0,496060.0,496060.0,496060.0,377.0,4.0,90.0,34.0,90.0,10.0,604.0
Silvertip A 5H,37.0,15669.0,15831.0,24.0,15850.0,12187.0,308.9,311.3,311.6,43293.0,5080.0,8170.0,0.6,0.81,0.21,68.0,11298.0,70.0,11600.0,6140.0,0.94,55.0,18830.0,,14.0,11335.0,435.0,11784.0,507000.0,507000.0,507000.0,507000.0,456.0,4.0,95.0,36.0,95.0,10.0,586.0
Silvertip A 5H,38.0,15467.0,15630.0,24.0,15649.0,12178.0,305.9,308.3,308.6,43294.0,5330.0,8020.0,0.13,0.26,0.13,66.3,11113.0,70.0,11530.0,6022.0,0.93,55.0,18059.0,,13.0,10576.0,74.0,10663.0,504540.0,504540.0,504540.0,504540.0,296.0,4.0,89.0,33.0,89.0,10.0,565.0
Silvertip A 5H,39.0,15266.0,15428.0,24.0,15447.0,12165.0,302.9,305.3,305.6,43294.0,5200.0,7810.0,0.37,0.5,0.12,70.0,11330.0,71.3,12190.0,6070.0,0.93,55.0,19439.0,,14.0,10726.0,70.0,10810.0,496680.0,496680.0,496680.0,496680.0,308.0,4.0,90.0,34.0,90.0,10.0,596.0
Silvertip A 5H,40.0,15064.0,15227.0,24.0,15246.0,12157.0,299.9,302.3,302.6,43294.0,5240.0,7980.0,0.64,0.76,0.12,70.4,11002.0,71.8,11660.0,6116.0,0.94,55.0,18984.0,,14.0,10784.0,78.0,10875.0,502020.0,502020.0,502020.0,502020.0,358.0,3.0,90.0,34.0,90.0,10.0,575.0
Silvertip A 5H,41.0,14863.0,15025.0,24.0,15044.0,12156.0,296.9,299.3,299.6,43294.0,5240.0,7760.0,0.98,0.11,0.13,70.2,10237.0,70.8,11590.0,6080.0,0.93,55.0,17614.0,,16.0,11032.0,57.0,11105.0,511440.0,511440.0,511440.0,511440.0,417.0,4.0,92.0,34.0,92.0,10.0,686.0
Silvertip A 5H,42.0,14661.0,14824.0,24.0,14843.0,12151.0,293.9,296.3,296.6,43295.0,5350.0,8270.0,0.22,0.35,0.13,69.2,11152.0,70.9,11820.0,6075.0,0.93,55.0,18915.0,,15.0,10956.0,69.0,11041.0,506100.0,506100.0,506100.0,506100.0,376.0,4.0,92.0,34.0,92.0,10.0,644.0
Silvertip A 5H,43.0,14460.0,14622.0,24.0,14641.0,12146.0,290.9,293.3,293.6,43295.0,5120.0,8200.0,0.59,0.72,0.13,67.4,10825.0,70.8,11550.0,6097.0,0.94,55.0,17882.0,,14.0,11399.0,56.0,11468.0,502540.0,502540.0,502540.0,502540.0,340.0,4.0,96.0,36.0,96.0,10.0,586.0
Silvertip A 5H,44.0,14258.0,14421.0,24.0,14440.0,12139.0,287.8,290.3,290.6,43295.0,5270.0,8190.0,0.86,0.99,0.13,69.4,10960.0,70.3,11820.0,5991.0,0.93,55.0,18643.0,,15.0,11250.0,46.0,11311.0,506800.0,506800.0,506800.0,506800.0,322.0,4.0,94.0,35.0,94.0,10.0,609.0
Silvertip A 5H,45.0,14057.0,14219.0,24.0,14238.0,12139.0,284.8,287.3,287.5,43296.0,5200.0,8460.0,0.12,0.25,0.13,68.0,10628.0,70.6,11510.0,6037.0,0.93,55.0,17713.0,,15.0,10760.0,44.0,10819.0,495040.0,495040.0,495040.0,495040.0,322.0,4.0,92.0,34.0,92.0,10.0,609.0
Silvertip A 5H,46.0,13855.0,14018.0,24.0,14037.0,12149.0,281.8,284.3,284.5,43296.0,5330.0,7540.0,0.38,0.5,0.12,70.1,11149.0,71.4,11560.0,6071.0,0.93,55.0,19156.0,,15.0,10832.0,43.0,10889.0,513600.0,513600.0,513600.0,513600.0,259.0,4.0,92.0,34.0,92.0,10.0,620.0
Silvertip A 5H,47.0,13654.0,13816.0,24.0,13835.0,12151.0,278.8,281.2,281.5,43296.0,5340.0,7600.0,0.64,0.76,0.12,70.3,11130.0,71.6,11750.0,6104.0,0.94,55.0,19177.0,,15.0,10825.0,31.0,10871.0,504180.0,504180.0,504180.0,504180.0,285.0,4.0,90.0,34.0,90.0,10.0,631.0
Silvertip A 5H,48.0,13452.0,13615.0,24.0,13634.0,12148.0,275.8,278.2,278.5,43296.0,5400.0,7420.0,0.87,0.99,0.12,69.8,10951.0,71.3,11610.0,5926.0,0.92,55.0,18735.0,,15.0,10854.0,29.0,10898.0,506220.0,506220.0,506220.0,506220.0,272.0,4.0,91.0,34.0,91.0,10.0,633.0
Silvertip A 5H,49.0,13251.0,13413.0,24.0,13432.0,12143.0,272.8,275.2,275.5,43297.0,5250.0,7790.0,0.11,0.23,0.12,69.3,10842.0,69.9,11210.0,5948.0,0.92,55.0,18415.0,,15.0,10724.0,25.0,10764.0,508400.0,508400.0,508400.0,508400.0,273.0,4.0,89.0,33.0,89.0,10.0,636.0
Silvertip A 5H,50.0,13049.0,13212.0,24.0,13231.0,12140.0,269.8,272.2,272.5,43297.0,5100.0,7540.0,0.42,0.53,0.12,70.0,11093.0,70.9,11690.0,6039.0,0.93,55.0,19032.0,,15.0,10660.0,23.0,10698.0,502420.0,502420.0,502420.0,502420.0,241.0,4.0,89.0,33.0,89.0,10.0,633.0
Silvertip A 5H,51.0,12848.0,13010.0,24.0,13029.0,12136.0,266.8,269.2,269.5,43297.0,5360.0,7780.0,0.67,0.79,0.12,70.4,10871.0,71.1,11320.0,5980.0,0.93,55.0,18758.0,,15.0,10769.0,16.0,10800.0,501020.0,501020.0,501020.0,501020.0,277.0,4.0,90.0,34.0,90.0,10.0,628.0
Silvertip A 5H,52.0,12646.0,12809.0,24.0,12828.0,12128.0,263.8,266.2,266.5,43297.0,5380.0,7330.0,0.88,0.0,0.12,70.0,10268.0,70.7,10980.0,5951.0,0.92,55.0,17617.0,,15.0,10734.0,14.0,10763.0,497940.0,497940.0,497940.0,497940.0,241.0,4.0,90.0,34.0,90.0,10.0,617.0
Silvertip A 5H,53.0,12445.0,12607.0,24.0,12626.0,12128.0,260.8,263.2,263.5,43298.0,5310.0,8220.0,0.11,0.23,0.12,70.0,10547.0,70.6,11690.0,5990.0,0.93,55.0,18095.0,,14.0,10375.0,0.0,10389.0,502920.0,502920.0,502920.0,502920.0,246.0,4.0,87.0,33.0,87.0,0.0,596.0
