Stage,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Top Perf,22874.00,22673.00,22473.00,22272.00,22071.00,21870.00,21669.00,21468.00,21268.00,21067.00,20866.00,20665.00,20464.00,20263.00,20063.00,19862.00,19661.00,19460.00,19259.00,19058.00,18858.00,18657.00,18456.00,18255.00,18054.00,17853.00,17653.00,17452.00,17251.00,17050.00,16849.00,16648.00,16447.00,16247.00,16046.00,15845.00,15644.00,15443.00,15242.00,15042.00,14841.00,14640.00,14439.00,14238.00,14037.00,13837.00,13636.00,13435.00,13234.00,13033.00,12832.00,12632.00,12431.00
Bottom Perf,23036.00,22835.00,22634.00,22434.00,22233.00,22032.00,21831.00,21630.00,21429.00,21229.00,21028.00,20827.00,20626.00,20425.00,20224.00,20024.00,19823.00,19622.00,19421.00,19220.00,19019.00,18819.00,18618.00,18417.00,18216.00,18015.00,17814.00,17614.00,17413.00,17212.00,17011.00,16810.00,16609.00,16408.00,16208.00,16007.00,15806.00,15605.00,15404.00,15203.00,15003.00,14802.00,14601.00,14400.00,14199.00,13995.00,13798.00,13597.00,13396.00,13195.00,12994.00,12793.00,12593.00
Num Perfs,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00
Plug Depth,23055.00,22854.00,22653.00,22453.00,22252.00,22051.00,21850.00,21649.00,21448.00,21248.00,21047.00,20846.00,20645.00,20444.00,20243.00,20043.00,19842.00,19641.00,19440.00,19239.00,19038.00,18838.00,18637.00,18436.00,18235.00,18034.00,17833.00,17633.00,17432.00,17231.00,17030.00,16829.00,16628.00,16427.00,16227.00,16026.00,15825.00,15624.00,15423.00,15222.00,15022.00,14821.00,14620.00,14419.00,14218.00,14017.00,13817.00,13616.00,13415.00,13214.00,13013.00,12812.00,12612.00
TVD,12093.00,12095.00,12091.00,12089.00,12089.00,12086.00,12082.00,12082.00,12079.00,12073.00,12072.00,12071.00,12073.00,12077.00,12078.00,12076.00,12071.00,12066.00,12060.00,12054.00,12053.00,12051.00,12046.00,12043.00,12040.00,12037.00,12032.00,12027.00,12020.00,12018.00,12018.00,12015.00,12016.00,12014.00,12007.00,12004.00,12000.00,11997.00,11994.00,11988.00,11987.00,11982.00,11977.00,11973.00,11966.00,11968.00,11969.00,11968.00,11965.00,11960.00,11957.00,11955.00,11950.00
Capacity Top Perf,415.40,412.40,409.40,406.40,403.40,400.40,397.40,394.40,391.50,388.50,385.50,382.50,379.50,376.50,373.50,370.50,367.50,364.50,361.50,358.50,355.50,352.50,349.50,346.50,343.50,340.50,337.50,334.50,331.50,328.50,325.50,322.50,319.50,316.50,313.50,310.50,307.50,304.50,301.50,298.50,295.50,292.50,289.50,286.50,283.50,280.50,277.50,274.50,271.50,268.50,265.50,262.50,259.50
Capacity Bottom Perf,417.90,414.90,411.90,408.90,405.90,402.90,399.90,396.90,393.90,390.90,387.90,384.90,381.90,378.90,375.90,372.90,369.90,366.90,363.90,360.90,357.90,354.90,351.90,348.90,345.90,342.90,339.90,336.90,333.90,330.90,327.90,324.90,321.90,318.90,315.90,312.90,309.90,306.90,303.90,300.90,297.90,294.90,291.90,288.90,285.90,282.90,279.90,276.90,273.90,270.90,267.90,264.90,261.90
Capacity Plug,418.10,415.10,412.10,409.20,406.10,403.10,400.10,397.10,394.10,391.20,388.20,385.20,382.20,379.20,376.20,373.20,370.20,367.20,364.20,361.20,358.20,355.20,352.20,349.20,346.20,343.20,340.20,337.20,334.20,331.20,328.20,325.20,322.20,319.20,316.20,313.20,310.20,307.20,304.20,301.20,298.20,295.20,292.20,289.20,286.20,283.20,280.20,277.20,274.20,271.20,268.20,265.20,262.20
Date,43266.00,43266.00,43267.00,43267.00,43267.00,43268.00,43268.00,43281.00,43281.00,43269.00,43269.00,43281.00,43281.00,43270.00,43281.00,43271.00,43276.00,43271.00,43271.00,43272.00,43281.00,43281.00,43273.00,43273.00,43273.00,43281.00,43281.00,43281.00,43281.00,43275.00,43275.00,43281.00,43281.00,43276.00,43276.00,43281.00,43277.00,43277.00,43277.00,43277.00,43278.00,43278.00,43278.00,43279.00,43279.00,43279.00,43279.00,43280.00,43280.00,43280.00,43280.00,43281.00,43281.00
IWHP,3400.00,4360.00,4510.00,4750.00,4920.00,4690.00,4790.00,4970.00,4960.00,4660.00,4640.00,4860.00,4720.00,4900.00,4680.00,4950.00,4870.00,4930.00,4700.00,4620.00,4330.00,4420.00,4770.00,4710.00,4930.00,4970.00,4680.00,4940.00,4880.00,4890.00,4690.00,4830.00,4950.00,4880.00,4970.00,4910.00,4810.00,4720.00,4620.00,4740.00,4850.00,4890.00,4970.00,4790.00,4510.00,4700.00,4890.00,4570.00,4680.00,4940.00,4970.00,4880.00,4860.00
Break Pres,7230.00,6700.00,8080.00,8920.00,7740.00,7760.00,7130.00,7300.00,6800.00,6930.00,7180.00,6610.00,6760.00,7160.00,7060.00,7220.00,7240.00,7560.00,7560.00,7080.00,7340.00,7200.00,7310.00,7400.00,7570.00,7130.00,7310.00,8290.00,7580.00,7540.00,7720.00,7880.00,7550.00,7490.00,7400.00,7010.00,7010.00,7670.00,7600.00,6960.00,6950.00,7440.00,7290.00,6880.00,7080.00,6840.00,6980.00,6930.00,6890.00,6980.00,7250.00,7160.00,7650.00
Start Time,1.00,0.43,0.76,0.08,0.51,0.02,0.34,0.64,0.92,0.23,0.53,0.82,0.09,0.37,0.67,0.95,0.21,0.48,0.79,0.08,0.41,0.73,0.01,0.31,0.58,0.85,0.12,0.41,0.87,0.11,0.37,0.63,0.87,0.21,0.48,0.74,0.01,0.27,0.52,0.76,0.01,0.28,0.53,0.78,0.05,0.32,0.55,0.85,0.15,0.38,0.60,0.85,0.10
End Time,0.14,0.57,0.89,0.31,0.80,0.15,0.48,0.77,0.06,0.36,0.66,0.94,0.22,0.49,0.80,0.07,0.33,0.61,0.91,0.22,0.54,0.85,0.14,0.44,0.73,0.98,0.25,0.53,1.00,0.24,0.50,0.75,0.09,0.34,0.61,0.87,0.13,0.39,0.65,0.89,0.13,0.39,0.65,0.91,0.20,0.45,0.72,0.03,0.27,0.50,0.73,0.97,0.22
Pump Time,0.15,0.14,0.13,0.23,0.28,0.13,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.13,0.14,0.13,0.12,0.13,0.13,0.15,0.13,0.13,0.12,0.12,0.12,0.13,0.12,0.22,0.12,0.12,0.13,0.12,0.12,0.13,0.13,0.12,0.12,0.13,0.13,0.14,0.13,0.17,0.18,0.12,0.12,0.13,0.12,0.12
Ave Rate,63.10,69.80,72.00,62.40,64.80,66.70,66.80,66.60,65.60,70.00,65.80,67.70,68.00,67.20,67.70,69.70,70.40,66.30,67.70,68.50,70.00,68.80,68.60,68.10,70.00,69.00,67.40,69.60,68.00,68.40,69.20,69.10,68.60,69.70,69.60,65.40,68.80,70.50,69.90,66.90,68.90,69.80,68.10,67.30,68.90,66.40,65.40,69.10,70.60,69.40,65.00,69.60,69.70
Ave Pres,11109.00,11024.00,11675.00,11445.00,11421.00,11304.00,11706.00,11569.00,11455.00,11808.00,11444.00,11590.00,11566.00,11411.00,11352.00,11630.00,11705.00,11687.00,11638.00,11658.00,11286.00,11645.00,11677.00,11303.00,11492.00,11685.00,11480.00,11656.00,11640.00,11695.00,11654.00,11678.00,11557.00,11482.00,11556.00,11449.00,11664.00,11615.00,11308.00,11474.00,11615.00,11401.00,10961.00,11550.00,11696.00,11158.00,10812.00,11593.00,11419.00,11504.00,11150.00,11211.00,11080.00
Max Rate,68.50,70.90,73.60,65.80,71.00,71.00,70.80,69.20,71.60,70.60,66.90,70.20,70.30,69.60,71.70,70.80,71.00,67.20,69.40,70.30,70.90,70.10,70.30,71.80,71.10,69.70,70.80,70.60,70.20,70.30,70.40,70.50,69.90,70.60,71.40,69.50,70.40,70.90,70.50,70.40,70.60,70.60,71.20,70.50,70.60,72.60,70.30,71.00,71.60,71.40,70.00,70.80,70.80
Max Pres,12020.00,11740.00,11970.00,11940.00,12160.00,11580.00,12010.00,12050.00,11640.00,12190.00,11890.00,11790.00,11800.00,11680.00,11740.00,11880.00,11820.00,11870.00,11880.00,11840.00,11860.00,12030.00,11950.00,11880.00,11920.00,11900.00,12320.00,11910.00,11960.00,12050.00,11960.00,11870.00,11900.00,11760.00,11910.00,11930.00,11910.00,12000.00,11830.00,12070.00,12000.00,11690.00,11750.00,11960.00,12000.00,11960.00,12250.00,11960.00,11680.00,11830.00,11820.00,11820.00,11930.00
ISIP,5190.00,5430.00,5490.00,5590.00,5740.00,5760.00,5610.00,5790.00,5790.00,5700.00,5700.00,5760.00,5780.00,5690.00,5700.00,5840.00,5850.00,5840.00,5770.00,5660.00,5890.00,5830.00,5860.00,5810.00,5810.00,5790.00,5710.00,5850.00,5820.00,5750.00,5770.00,5740.00,5850.00,5800.00,5780.00,5910.00,5830.00,5609.00,5740.00,5760.00,5800.00,5840.00,5830.00,5810.00,5700.00,5853.00,5700.00,5740.00,5784.00,5759.00,5750.00,5750.00,5768.00
FG,0.86,0.88,0.89,0.90,0.91,0.91,0.90,0.91,0.91,0.91,0.91,0.91,0.91,0.90,0.91,0.92,0.92,0.92,0.91,0.90,0.92,0.92,0.92,0.92,0.92,0.91,0.91,0.92,0.92,0.91,0.91,0.91,0.92,0.92,0.92,0.93,0.92,0.90,0.91,0.91,0.92,0.92,0.92,0.92,0.91,0.92,0.91,0.91,0.92,0.92,0.91,0.91,0.92
Design,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00
Avg HHP,17181.00,18860.00,20603.00,17504.00,18151.00,18474.00,19166.00,18888.00,18412.00,20259.00,18456.00,19243.00,19277.00,18795.00,18839.00,19865.00,20197.00,18991.00,19320.00,19573.00,19363.00,19637.00,19628.00,18866.00,19704.00,19773.00,18965.00,19884.00,19391.00,19606.00,19766.00,19784.00,19438.00,19615.00,19713.00,18355.00,19663.00,20070.00,19373.00,18811.00,19600.00,19505.00,18295.00,19044.00,19751.00,18159.00,17321.00,19620.00,19759.00,19568.00,17763.00,19125.00,18928.00
15 minute SIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15% HCl Acid,31.00,29.00,30.00,26.00,30.00,29.00,27.00,28.00,30.00,28.00,17.00,14.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,14.00,14.00,13.00,13.00,15.00,14.00,15.00,16.00,14.00,14.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,14.00,14.00,13.00,16.00,15.00,14.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00
Slickwater,10806.00,11832.00,10973.00,12034.00,12011.00,10901.00,10986.00,10976.00,10932.00,10863.00,10955.00,10899.00,10808.00,10789.00,10928.00,10812.00,10720.00,10773.00,10688.00,10875.00,10680.00,10747.00,10921.00,10853.00,11339.00,10828.00,11287.00,10696.00,10740.00,10818.00,10707.00,10612.00,10958.00,10684.00,10757.00,10788.00,10750.00,10770.00,10986.00,10746.00,10765.00,10630.00,11015.00,10969.00,11181.00,10739.00,10972.00,10646.00,10684.00,10609.00,10663.00,10588.00,10384.00
Pump Down,326.00,301.00,308.00,303.00,274.00,243.00,242.00,230.00,206.00,209.00,210.00,224.00,203.00,255.00,202.00,189.00,179.00,175.00,166.00,163.00,154.00,172.00,184.00,140.00,138.00,134.00,141.00,133.00,117.00,114.00,111.00,106.00,518.00,96.00,96.00,82.00,78.00,75.00,69.00,64.00,59.00,61.00,58.00,44.00,48.00,40.00,33.00,36.00,29.00,27.00,22.00,18.00,0.00
Total Fluid,11163.00,12162.00,11311.00,12364.00,12314.00,11173.00,11255.00,11234.00,11168.00,11100.00,11182.00,11137.00,11026.00,11059.00,11145.00,11016.00,10914.00,10963.00,10869.00,11053.00,10848.00,10933.00,11118.00,11005.00,11491.00,10976.00,11444.00,10846.00,10871.00,10946.00,10833.00,10733.00,11491.00,10795.00,10868.00,10885.00,10843.00,10859.00,11069.00,10824.00,10837.00,10704.00,11088.00,11027.00,11243.00,10794.00,11020.00,10697.00,10728.00,10651.00,10700.00,10621.00,10398.00
100 Mesh,503020.00,499320.00,501700.00,502280.00,501400.00,499620.00,499540.00,507620.00,502280.00,496540.00,501940.00,500660.00,500960.00,499480.00,500140.00,496800.00,496140.00,499740.00,493180.00,502220.00,498800.00,502980.00,504400.00,498600.00,500460.00,507360.00,507840.00,496360.00,502920.00,504400.00,498900.00,492780.00,497680.00,499180.00,501600.00,504520.00,504660.00,499620.00,503300.00,505500.00,507380.00,497400.00,503060.00,512120.00,506960.00,500360.00,504800.00,496000.00,499720.00,494480.00,505080.00,495080.00,497080.00
Total Proppant,503020.00,499320.00,501700.00,502280.00,501400.00,499620.00,499540.00,507620.00,502280.00,496540.00,501940.00,500660.00,500960.00,499480.00,500140.00,496800.00,496140.00,499740.00,493180.00,502220.00,498800.00,502980.00,504400.00,498600.00,500460.00,507360.00,507840.00,496360.00,502920.00,504400.00,498900.00,492780.00,497680.00,499180.00,501600.00,504520.00,504660.00,499620.00,503300.00,505500.00,507380.00,497400.00,503060.00,512120.00,506960.00,500360.00,504800.00,496000.00,499720.00,494480.00,505080.00,495080.00,497080.00
100 Mesh,503020.00,499320.00,501700.00,502280.00,501400.00,499620.00,499540.00,507620.00,502280.00,496540.00,501940.00,500660.00,500960.00,499480.00,500140.00,496800.00,496140.00,499740.00,493180.00,502220.00,498800.00,502980.00,504400.00,498600.00,500460.00,507360.00,507840.00,496360.00,502920.00,504400.00,498900.00,492780.00,497680.00,499180.00,501600.00,504520.00,504660.00,499620.00,503300.00,505500.00,507380.00,497400.00,503060.00,512120.00,506960.00,500360.00,504800.00,496000.00,499720.00,494480.00,505080.00,495080.00,497080.00
Delivered Total Prop,503020.00,499320.00,501700.00,502280.00,501400.00,499620.00,499540.00,507620.00,502280.00,496540.00,501940.00,500660.00,500960.00,499480.00,500140.00,496800.00,496140.00,499740.00,493180.00,502220.00,498800.00,502980.00,504400.00,498600.00,500460.00,507360.00,507840.00,496360.00,502920.00,504400.00,498900.00,492780.00,497680.00,499180.00,501600.00,504520.00,504660.00,499620.00,503300.00,505500.00,507380.00,497400.00,503060.00,512120.00,506960.00,500360.00,504800.00,496000.00,499720.00,494480.00,505080.00,495080.00,497080.00
"Plexslick 957, gal",455.00,493.00,396.00,501.00,495.00,453.00,458.00,457.00,455.00,453.00,457.00,454.00,450.00,450.00,412.00,407.00,446.00,449.00,434.00,453.00,373.00,387.00,315.00,367.00,355.00,330.00,348.00,330.00,340.00,297.00,329.00,397.00,346.00,329.00,330.00,294.00,282.00,321.00,385.00,288.00,287.00,287.00,336.00,268.00,266.00,261.00,299.00,237.00,243.00,242.00,223.00,247.00,257.00
"Chemplex 4-N-1, gal",8.00,7.00,8.00,7.00,8.00,7.00,7.00,7.00,8.00,7.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00
"Payzone 845, gal",91.00,99.00,92.00,99.00,101.00,91.00,92.00,94.00,92.00,92.00,93.00,91.00,90.00,90.00,92.00,91.00,90.00,90.00,90.00,91.00,91.00,90.00,92.00,92.00,95.00,91.00,95.00,90.00,90.00,90.00,90.00,89.00,92.00,90.00,90.00,90.00,90.00,90.00,92.00,90.00,90.00,89.00,92.00,92.00,94.00,89.00,92.00,90.00,90.00,89.00,90.00,89.00,87.00
"Payzone 850, gal",34.00,37.00,35.00,37.00,38.00,34.00,35.00,35.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,35.00,34.00,35.00,34.00,35.00,34.00,34.00,34.00,34.00,34.00,35.00,34.00,34.00,34.00,34.00,34.00,35.00,34.00,34.00,34.00,35.00,35.00,35.00,34.00,35.00,34.00,34.00,33.00,34.00,33.00,33.00
"Payzone 217, gal",91.00,99.00,92.00,99.00,101.00,91.00,92.00,94.00,92.00,92.00,93.00,91.00,90.00,90.00,92.00,91.00,90.00,90.00,90.00,91.00,91.00,90.00,92.00,92.00,95.00,91.00,95.00,90.00,90.00,90.00,90.00,89.00,92.00,90.00,90.00,90.00,90.00,90.00,92.00,90.00,90.00,89.00,92.00,92.00,94.00,89.00,92.00,90.00,90.00,89.00,90.00,89.00,87.00
"Stim741 Gel, gal",20.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,
"15% HCl Acid, gal",1301.00,1224.00,1261.00,1111.00,1259.00,1219.00,1150.00,1172.00,1248.00,1190.00,715.00,596.00,615.00,631.00,633.00,636.00,633.00,631.00,620.00,609.00,596.00,575.00,554.00,525.00,609.00,586.00,641.00,689.00,575.00,596.00,609.00,620.00,631.00,633.00,636.00,633.00,631.00,620.00,609.00,596.00,575.00,554.00,652.00,609.00,596.00,609.00,620.00,631.00,633.00,636.00,633.00,631.00,620.00
Well Name,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H
