MD,Inclination,Azimuth,TVD,NS,EW,CA,CD,VS,DLS
255,1.09,270.28,254.98,0.01,-2.43,270.28,2.43,-0.07,0.43
434,0.81,284.82,433.96,0.34,-5.35,273.68,5.36,0.17,0.21
617,0.68,295.82,616.94,1.15,-7.58,278.61,7.67,0.9,0.11
799,0.62,316.86,798.93,2.34,-9.22,284.21,9.52,2.03,0.13
983,0.5,339.38,982.92,3.81,-10.19,290.53,10.88,3.48,0.13
1166,0.68,341.2,1165.91,5.59,-10.82,297.32,12.18,5.23,0.1
1351,0.7,2.94,1350.9,7.76,-11.12,304.91,13.55,7.39,0.14
1535,0.66,343.97,1534.89,9.9,-11.35,311.09,15.06,9.52,0.12
1718,0.74,351.71,1717.88,12.08,-11.81,315.65,16.9,11.68,0.07
1902,0.85,349.44,1901.86,14.6,-12.23,320.04,19.05,14.19,0.06
2085,1.64,27.34,2084.82,18.26,-11.28,328.3,21.46,17.88,0.6
2270,2.89,42.48,2269.67,24.05,-6.91,343.96,25.02,23.81,0.74
2453,4.34,62.04,2452.31,30.7,2.32,4.32,30.79,30.76,1.03
2637,4.63,61.91,2635.74,37.46,15.02,21.85,40.36,37.94,0.16
2821,4.81,61.77,2819.12,44.61,28.37,32.46,52.86,45.52,0.1
3006,4.72,63.28,3003.48,51.7,42,39.09,66.61,53.05,0.08
3189,2.92,83.46,3186.07,55.61,53.36,43.81,77.07,57.34,1.21
3373,3.04,76.95,3369.83,57.25,62.77,47.63,84.95,59.29,0.2
3558,3.25,99.99,3554.55,57.45,72.71,51.69,92.67,59.81,0.69
3740,3.84,81.59,3736.21,57.44,83.82,55.58,101.62,60.18,0.7
3924,4.3,77.44,3919.75,59.85,96.65,58.23,113.68,63,0.3
4109,6.52,73.55,4103.91,64.33,113.49,60.46,130.46,68.04,1.22
4288,5.75,72.92,4281.89,69.84,131.81,62.08,149.17,74.15,0.43
4473,5.81,83.42,4465.95,73.64,149.97,63.85,167.08,78.54,0.57
4602,5.52,85.43,4594.32,74.88,162.65,65.28,179.05,80.2,0.27
4750,5.07,84.87,4741.69,76.03,176.25,66.67,191.95,81.8,0.31
4934,5.84,82.88,4924.85,77.92,193.64,68.08,208.73,84.26,0.43
5117,7.17,84.58,5106.67,80.15,214.25,69.49,228.75,87.17,0.73
5298,6.26,78.23,5286.43,83.23,235.16,70.51,249.45,90.94,0.65
5483,5.71,66.73,5470.43,88.92,253.49,70.67,268.63,97.24,0.71
5667,6.37,63.3,5653.41,97.13,271.01,70.28,287.89,106.01,0.41
5851,5.9,62.85,5836.35,106.03,288.55,69.82,307.41,115.49,0.26
6034,4.25,56.91,6018.63,114.02,302.6,69.35,323.37,123.94,0.95
6217,3.96,63.31,6201.16,120.56,313.93,68.99,336.28,130.85,0.3
6401,4.39,79.6,6384.68,124.69,326.53,69.1,349.53,135.39,0.68
6585,3.71,83.94,6568.22,126.59,339.38,69.54,362.22,137.71,0.41
6768,3.45,86.55,6750.86,127.54,350.76,70.02,373.23,139.04,0.17
6952,2.77,90,6934.59,127.88,360.73,70.48,382.73,139.7,0.38
7135,2.4,79.64,7117.4,128.57,368.92,70.79,390.68,140.66,0.32
7318,1.82,42.73,7300.29,131.39,374.66,70.67,397.04,143.68,0.79
7502,3.27,41.03,7484.1,137.5,380.09,70.11,404.2,149.96,0.79
7687,3.05,44.96,7668.82,144.96,387.03,69.47,413.29,157.64,0.17
7870,4.25,54.13,7851.45,152.38,395.97,68.95,424.28,165.35,0.73
8055,4.71,68.53,8035.89,159.17,408.59,68.72,438.5,172.56,0.65
8238,4.52,82.29,8218.3,162.89,422.73,68.93,453.03,176.74,0.61
8421,4.83,93.68,8400.69,163.36,437.57,69.53,467.07,177.71,0.53
8605,4.2,107.79,8584.13,160.81,451.71,70.4,479.48,175.62,0.69
8789,2.93,77.79,8767.78,159.74,462.73,70.95,489.52,174.92,1.2
8972,1.99,79.02,8950.61,161.34,470.42,71.07,497.31,176.77,0.51
9155,0.97,85.3,9133.55,162.07,475.08,71.16,501.96,177.65,0.56
9338,0.52,113.66,9316.53,161.86,477.38,71.27,504.08,177.52,0.31
9519,0.44,152.05,9497.53,160.92,478.46,71.41,504.8,176.61,0.18
9703,0.39,172.01,9681.52,159.68,478.88,71.56,504.8,175.38,0.08
9885,1.48,294.31,9863.5,160.03,476.82,71.45,502.96,175.67,0.95
10068,1.46,264.6,10046.45,160.78,472.35,71.2,498.96,176.28,0.41
10251,1.24,267.71,10229.4,160.49,468.05,71.07,494.8,175.84,0.13
10435,0.89,352.97,10413.37,161.82,465.89,70.85,493.19,177.1,0.8
10617,0.62,34.03,10595.36,164.04,466.26,70.62,494.28,179.33,0.32
10801,0.7,299.24,10779.35,165.42,465.84,70.45,494.34,180.69,0.53
10986,1.57,200.79,10964.32,163.6,463.95,70.58,491.95,178.81,0.98
11169,1.47,211.23,11147.26,159.25,461.85,70.98,488.53,174.39,0.16
11353,1.62,206.03,11331.19,154.89,459.48,71.37,484.89,169.96,0.11
11535,1.58,195.78,11513.12,150.17,457.67,71.83,481.68,165.18,0.16
11606,1.88,194.79,11584.09,148.1,457.11,72.05,480.5,163.09,0.42
11698,0.5,319.63,11676.07,146.95,456.46,72.16,479.53,161.92,2.4
11790,6.41,353.34,11767.87,152.36,455.61,71.51,480.41,167.3,6.52
11882,13.86,2.83,11858.38,168.49,455.55,69.7,485.71,183.42,8.27
11974,19.44,2.62,11946.48,194.81,456.8,66.9,496.6,209.77,6.07
12066,27.17,359.28,12030.92,231.16,457.24,63.18,512.35,246.12,8.52
12159,36.01,359.36,12110.06,279.83,456.66,58.5,535.58,294.74,9.51
12252,43.52,1.03,12181.5,339.27,456.93,53.41,569.11,354.15,8.16
12266,45.46,0.78,12191.48,349.08,457.09,52.63,575.14,363.96,13.91
12348,53.34,0.28,12244.8,411.28,457.65,48.05,615.3,426.15,9.62
12442,69.28,1.65,12289.79,493.46,459.11,42.93,674.01,508.34,17
12537,86.11,4.61,12309.96,585.79,464.23,38.4,747.44,600.79,17.97
12631,94.45,5.26,12309.51,679.36,472.31,34.81,827.41,694.57,8.9
12725,89.71,1.69,12306.09,773.08,478,31.73,908.92,788.43,6.31
12820,87.46,4.48,12308.44,867.9,483.11,29.1,993.3,883.36,3.77
12915,89.42,13.9,12311.03,961.54,498.26,27.39,1082.97,977.45,10.12
13010,89.51,14.17,12311.92,1053.7,521.3,26.32,1175.6,1070.32,0.3
13104,89.62,6.21,12312.63,1146.14,537.91,25.14,1266.09,1163.25,8.47
13199,93.88,358.6,12309.73,1240.92,541.9,23.59,1354.08,1258.11,9.18
13293,94.05,358.87,12303.23,1334.67,539.83,22.02,1439.71,1351.75,0.34
13387,94.08,359.67,12296.57,1428.42,538.64,20.66,1526.61,1445.41,0.85
13481,92.35,0.67,12291.29,1522.27,538.92,19.5,1614.85,1539.22,2.12
13576,93.23,359.86,12286.67,1617.16,539.36,18.44,1704.73,1634.06,1.26
13670,89.29,358.66,12284.6,1711.11,538.14,17.46,1793.73,1727.92,4.38
13765,87.94,356.06,12286.9,1805.97,533.77,16.47,1883.19,1822.59,3.08
13859,90.43,355,12288.24,1899.66,526.44,15.49,1971.26,1915.99,2.88
13954,90.98,356.95,12287.07,1994.42,519.78,14.61,2061.03,2010.47,2.13
14049,91.8,1.53,12284.76,2089.35,518.52,13.94,2152.73,2105.32,4.9
14143,89.11,1.26,12284.01,2183.31,520.8,13.42,2244.57,2199.3,2.88
14238,85.51,2.91,12288.47,2278.13,524.25,12.96,2337.67,2294.18,4.17
14332,87.91,4.37,12293.87,2371.77,530.21,12.6,2430.32,2387.97,2.99
14427,90.68,5.7,12295.04,2466.39,538.55,12.32,2524.5,2482.81,3.23
14521,90.57,4.25,12294.01,2560.03,546.7,12.05,2617.75,2576.66,1.55
14616,86.32,4.21,12296.59,2654.71,553.7,11.78,2711.84,2671.53,4.47
14733,87.17,3.98,12303.23,2771.22,562.04,11.46,2827.64,2788.25,0.75
14828,85.41,3.98,12309.38,2865.79,568.62,11.22,2921.66,2882.99,1.85
14922,85.53,3.62,12316.8,2959.29,574.83,10.99,3014.6,2976.64,0.4
15017,87.43,1.96,12322.64,3053.99,579.45,10.74,3108.48,3071.44,2.65
15112,89.02,1.12,12325.58,3148.91,582,10.47,3202.24,3166.39,1.89
15207,90.8,1.24,12325.73,3243.88,583.96,10.2,3296.03,3261.38,1.88
15302,90.76,0.93,12324.43,3338.86,585.75,9.95,3389.85,3356.36,0.33
15397,90.17,359.81,12323.66,3433.85,586.37,9.69,3483.56,3451.32,1.33
15491,88.01,2.17,12325.16,3527.81,587.99,9.46,3576.48,3545.29,3.4
15586,90.47,9.07,12326.42,3622.28,597.29,9.36,3671.2,3640.01,7.71
15681,89.33,8.33,12326.58,3716.19,611.66,9.35,3766.19,3734.34,1.43
15776,88.59,1.78,12328.31,3810.75,620.02,9.24,3860.86,3829.13,6.94
15870,88.78,3.41,12330.47,3904.63,624.28,9.08,3954.22,3923.09,1.75
15964,88.94,3.93,12332.34,3998.42,630.29,8.96,4047.79,4017.03,0.58
16059,89.51,359.82,12333.62,4093.34,633.4,8.8,4142.05,4112,4.37
16153,88.75,354.6,12335.05,4187.18,628.83,8.54,4234.13,4205.64,5.61
16248,88.44,356.66,12337.38,4281.87,621.59,8.26,4326.75,4300.04,2.19
16342,88.78,359.9,12339.66,4375.79,618.77,8.05,4419.32,4393.81,3.46
16436,89.92,1.65,12340.73,4469.77,620.04,7.9,4512.57,4487.79,2.22
16530,89.64,359.57,12341.09,4563.76,621.04,7.75,4605.82,4581.76,2.23
16625,91.63,1.8,12340.04,4658.73,622.18,7.61,4700.1,4676.72,3.15
16719,97.08,1.17,12332.9,4752.39,624.61,7.49,4793.26,4770.41,5.84
16813,94.66,360,12323.29,4845.89,625.56,7.36,4886.1,4863.88,2.86
16907,92.17,359.25,12317.69,4939.71,624.95,7.21,4979.09,4957.63,2.77
17002,89.53,358.79,12316.28,5034.68,623.32,7.06,5073.12,5052.5,2.82
17096,89.64,359.86,12316.96,5128.67,622.21,6.92,5166.27,5146.4,1.14
17191,88.11,0.39,12318.83,5223.65,622.42,6.8,5260.6,5241.33,1.7
17286,90.22,1.38,12320.21,5318.62,623.89,6.69,5355.08,5336.3,2.45
17381,90.95,2.7,12319.24,5413.55,627.27,6.61,5449.77,5431.29,1.59
17475,86.17,359.95,12321.6,5507.46,629.44,6.52,5543.31,5525.22,5.87
17570,85.94,0.36,12328.14,5602.23,629.7,6.41,5637.51,5619.95,0.49
17664,89.72,3.07,12331.69,5696.1,632.51,6.34,5731.11,5713.86,4.95
17758,88.72,1.95,12332.97,5790,636.63,6.27,5824.89,5807.84,1.6
17853,89.08,1.76,12334.8,5884.93,639.7,6.2,5919.59,5902.83,0.43
17947,90.53,1.17,12335.12,5978.89,642.11,6.13,6013.28,5996.82,1.66
18041,89.3,3.94,12335.26,6072.79,646.3,6.07,6107.08,6090.8,3.22
18136,90.89,7.11,12335.1,6167.33,655.44,6.07,6202.06,6185.59,3.74
18230,90.83,3.97,12333.69,6260.87,664.52,6.06,6296.04,6279.38,3.35
18325,90.18,3.62,12332.85,6355.66,670.81,6.02,6390.96,6374.32,0.78
18419,87.74,2.37,12334.56,6449.51,675.72,5.98,6484.81,6468.28,2.92
18514,88.49,3.77,12337.68,6544.32,680.8,5.94,6579.63,6563.21,1.67
18609,89.39,4.18,12339.44,6639.07,687.39,5.91,6674.56,6658.13,1.04
18704,87.76,0.06,12341.8,6733.95,690.9,5.86,6769.3,6753.07,4.66
18798,88.1,359.45,12345.19,6827.89,690.5,5.77,6862.71,6846.95,0.75
18893,88.52,0.01,12347.99,6922.85,690.04,5.69,6957.15,6941.84,0.73
18988,86.95,0.09,12351.74,7017.77,690.13,5.62,7051.62,7036.71,1.66
19082,89.01,5.12,12355.06,7111.58,694.4,5.58,7145.4,7130.61,5.77
19177,91.3,7.21,12354.8,7206.02,704.59,5.58,7240.38,7225.33,3.27
19256,89.05,3.87,12354.56,7284.63,712.22,5.58,7319.37,7304.16,5.1
19350,88.18,0.45,12356.83,7378.52,715.76,5.54,7413.16,7398.11,3.75
19445,88.09,1.41,12359.92,7473.46,717.3,5.48,7507.8,7493.05,1.01
19540,88.79,1.59,12362.51,7568.39,719.79,5.43,7602.54,7588.01,0.76
19635,88.75,359.92,12364.55,7663.36,721.04,5.38,7697.2,7682.97,1.76
19729,89.32,357.81,12366.13,7757.32,719.18,5.3,7790.58,7776.82,2.32
19823,89.67,358.69,12366.96,7851.27,716.31,5.21,7883.88,7870.62,1.01
19918,88.44,355.61,12368.53,7946.13,711.59,5.12,7977.92,7965.27,3.49
20012,89.36,359.66,12370.33,8040.01,707.71,5.03,8071.1,8058.98,4.42
20107,89.71,2.2,12371.1,8134.99,709.25,4.98,8165.84,8153.95,2.7
20201,92.13,2.38,12369.59,8228.89,713.01,4.95,8259.72,8247.93,2.58
20296,92.66,2.99,12365.62,8323.7,717.45,4.93,8354.57,8342.84,0.85
20390,90.68,2.91,12362.89,8417.53,722.29,4.9,8448.47,8436.78,2.11
20485,88.35,2.2,12363.69,8512.43,726.52,4.88,8543.38,8531.76,2.56
20579,88.22,3.61,12366.5,8606.26,731.28,4.86,8637.28,8625.7,1.51
20674,86.42,3.26,12370.94,8700.99,736.97,4.84,8732.14,8720.56,1.93
20768,86.46,3.17,12376.78,8794.66,742.23,4.82,8825.92,8814.35,0.1
20863,89.98,4.05,12379.73,8889.41,748.21,4.81,8920.84,8909.25,3.82
20958,88.31,3.87,12381.15,8984.17,754.77,4.8,9015.81,9004.17,1.77
21053,86.24,4.75,12385.67,9078.78,761.9,4.8,9110.7,9098.97,2.37
21148,90.77,5.19,12388.14,9173.37,770.13,4.8,9205.64,9193.78,4.79
21243,92.48,3.61,12385.45,9268.04,777.41,4.79,9300.59,9288.64,2.45
21338,90.73,2.99,12382.79,9362.85,782.88,4.78,9395.52,9383.57,1.95
21432,90.37,2.2,12381.89,9456.74,787.13,4.76,9489.45,9477.56,0.92
21527,87.34,2.03,12383.79,9551.65,790.64,4.73,9584.32,9572.53,3.19
21621,86.77,0.71,12388.61,9645.5,792.88,4.7,9678.03,9666.4,1.53
21716,86.68,0.89,12394.04,9740.33,794.21,4.66,9772.66,9761.23,0.21
21810,89.98,2.03,12396.78,9834.25,796.6,4.63,9866.46,9855.17,3.71
21905,89.1,0.8,12397.54,9929.21,798.95,4.6,9961.3,9950.16,1.59
21999,88.75,0.45,12399.31,10023.19,799.97,4.56,10055.06,10044.12,0.53
22094,89.63,0.01,12400.65,10118.18,800.35,4.52,10149.78,10139.07,1.04
22189,89.01,358.78,12401.78,10213.16,799.35,4.48,10244.4,10233.97,1.45
22284,89.05,0.18,12403.39,10308.14,798.49,4.43,10339.02,10328.87,1.47
22378,88.44,0.89,12405.44,10402.12,799.37,4.39,10432.78,10422.82,1
22473,90.77,2.29,12406.1,10497.07,802,4.37,10527.66,10517.81,2.86
22567,89.85,3.08,12405.59,10590.96,806.4,4.35,10621.62,10611.8,1.29
22662,90.2,4.05,12405.55,10685.78,812.31,4.35,10716.61,10706.75,1.09
22757,89.76,3.96,12405.58,10780.54,818.95,4.34,10811.61,10801.69,0.47
22852,88.75,6.07,12406.82,10875.17,827.25,4.35,10906.58,10896.53,2.46
22946,87.91,4.05,12409.56,10968.75,835.54,4.36,11000.53,10990.34,2.33
23041,89.01,1.94,12412.11,11063.58,840.5,4.34,11095.46,11085.28,2.5
23136,92.57,0.09,12410.8,11158.54,842.18,4.32,11190.28,11180.25,4.22
23230,91.78,357.99,12407.23,11252.45,840.61,4.27,11283.81,11274.06,2.39
23324,92.44,357.63,12403.77,11346.32,837.02,4.22,11377.15,11367.75,0.8
23419,87.52,357.28,12403.81,11441.2,832.8,4.16,11471.47,11462.44,5.19
23488,90.42,0.18,12405.05,11510.15,831.27,4.13,11540.13,11531.31,5.94
23548,90.42,0.18,12404.61,11570.15,831.46,4.11,11599.99,11591.28,0
DigiDrill DataLogger,,,,,,,,,
