Measured Depth,Inclination,Azimuth,True Vertical Depth,Vertical Section,N/S,E/W,Dogleg Severity,Closure Distance,Closure Direction
0,0,0,0,0,0,0,Invalid,0,0
180,1.07,262.52,179.99,-0.28,-0.22,-1.67,0.59,1.68,262.52
330,0.73,245.52,329.97,-0.93,-0.8,-3.92,0.29,4,258.53
509,0.42,217.85,508.96,-1.96,-1.78,-5.35,0.23,5.64,251.63
698,0.38,135.35,697.96,-2.94,-2.76,-5.33,0.28,6,242.6
884,0.24,101.21,883.96,-3.43,-3.28,-4.52,0.12,5.58,234.06
1066,0.28,34.56,1065.96,-3.12,-2.99,-3.9,0.16,4.91,232.54
1245,0.93,74.05,1244.94,-2.31,-2.23,-2.26,0.41,3.17,225.31
1424,1.61,85.14,1423.9,-1.56,-1.62,1.65,0.4,2.31,134.53
1603,3.71,87.49,1602.7,-0.81,-1.15,9.94,1.18,10,96.62
1782,3.78,95.01,1781.32,-0.68,-1.41,21.6,0.28,21.65,93.75
1961,3.91,102.1,1959.91,-2.06,-3.21,33.44,0.27,33.59,95.48
2141,3.4,103.3,2139.55,-4.19,-5.72,44.63,0.29,45,97.31
2320,4.25,88.22,2318.15,-4.8,-6.74,56.43,0.73,56.83,96.81
2499,3.65,99.49,2496.73,-5.12,-7.47,68.68,0.55,69.08,96.21
2678,4.38,82.25,2675.3,-4.71,-7.49,81.07,0.78,81.41,95.28
2857,4.26,89.74,2853.79,-3.3,-6.54,94.48,0.32,94.71,93.96
3036,3.97,92.16,3032.33,-3.07,-6.74,107.33,0.19,107.54,93.6
3215,4.19,88.41,3210.87,-2.69,-6.8,120.07,0.19,120.26,93.24
3394,4.81,92.47,3389.32,-2.35,-6.94,134.11,0.39,134.29,92.96
3573,5.92,94.11,3567.53,-2.76,-7.92,150.83,0.62,151.03,93.01
3752,5.94,97.93,3745.57,-4.07,-9.86,169.2,0.22,169.49,93.34
3932,4.73,92.28,3924.79,-5.08,-11.44,185.85,0.73,186.2,93.52
4110,3.92,82.4,4102.29,-4.11,-10.93,199.22,0.62,199.52,93.14
4289,4.18,92.77,4280.84,-3.18,-10.43,211.81,0.43,212.07,92.82
4482,4.89,114.11,4473.25,-6.38,-14.13,226.35,0.94,226.8,93.57
4663,3.86,92.71,4653.73,-9.38,-17.58,239.49,1.06,240.13,94.2
4852,3.72,85.38,4842.32,-8.76,-17.38,251.96,0.27,252.55,93.95
5042,3.22,80.75,5031.97,-7.01,-16.03,263.37,0.3,263.85,93.48
5231,2.79,86.12,5220.71,-5.51,-14.87,273.19,0.27,273.59,93.11
5420,3.63,71,5409.42,-2.91,-12.61,283.43,0.63,283.71,92.55
5609,3.27,74.63,5598.07,0.84,-9.23,294.28,0.22,294.42,91.8
5797,4.78,70.29,5785.6,5.33,-5.17,306.82,0.82,306.87,90.97
5986,4.51,70.59,5973.98,10.94,-0.04,321.24,0.15,321.24,90.01
6176,4.81,65.04,6163.36,17.26,5.79,335.5,0.29,335.55,89.01
6365,4.79,65.71,6351.69,24.34,12.38,349.86,0.03,350.08,87.97
6554,4.27,67.03,6540.1,30.79,18.37,363.53,0.28,363.99,87.11
6743,3.96,63,6728.62,36.91,24.07,375.81,0.22,376.58,86.33
6931,3.02,64.52,6916.27,42.34,29.15,386.06,0.5,387.16,85.68
7120,1.12,107.43,7105.14,44.14,30.74,392.31,1.23,393.52,85.52
7309,0.67,207.86,7294.13,42.66,29.22,393.56,0.74,394.64,85.75
7498,0.91,221,7483.11,40.51,27.12,392.07,0.16,393,86.04
7687,0.61,203.5,7672.1,38.41,25.06,390.68,0.2,391.48,86.33
7876,1.33,211.78,7861.07,35.56,22.26,389.12,0.39,389.76,86.73
8065,1.18,223.09,8050.02,32.19,18.97,386.63,0.15,387.1,87.19
8254,1.57,203.02,8238.97,28.31,15.18,384.29,0.32,384.59,87.74
8443,1.58,196.45,8427.9,23.38,10.31,382.55,0.1,382.69,88.46
8631,0.47,126.48,8615.87,20.44,7.36,382.44,0.79,382.51,88.9
8820,0.39,143.63,8804.86,19.49,6.38,383.45,0.08,383.5,89.05
9009,0.37,80.75,8993.86,19.1,5.96,384.43,0.21,384.48,89.11
9198,0.65,270.78,9182.86,19.2,6.07,383.96,0.54,384.01,89.09
9387,1.03,220.82,9371.84,17.85,4.8,381.78,0.42,381.81,89.28
9576,1.18,218.7,9560.8,14.98,2,379.45,0.08,379.46,89.7
9765,1.92,242.18,9749.73,11.85,-0.99,375.43,0.51,375.44,90.15
9954,0.9,258.77,9938.68,9.93,-2.76,371.17,0.58,371.18,90.43
10143,0.62,276.87,10127.66,9.68,-2.93,368.7,0.2,368.71,90.46
10332,1.65,307.19,10316.62,11.33,-1.17,365.52,0.61,365.53,90.18
10521,2.03,29.91,10505.55,15.85,3.37,365.03,1.29,365.04,89.47
10710,2.19,324.8,10694.45,21.68,9.21,364.61,1.2,364.73,88.55
10899,1.46,271.53,10883.36,24.54,12.23,360.12,0.93,360.33,88.06
11088,3.7,258.8,11072.16,23.13,11.11,351.72,1.22,351.9,88.19
11277,2.64,259.74,11260.87,20.82,9.15,341.45,0.56,341.57,88.47
11380,0.3,312.76,11363.83,20.49,8.91,338.91,2.4,339.03,88.49
11474,3.76,81.09,11457.76,21.24,9.55,341.78,4.21,341.91,88.4
11569,3.47,88.45,11552.58,22,10.11,347.73,0.58,347.88,88.33
11663,3.05,91.27,11646.42,22.2,10.13,353.08,0.47,353.22,88.36
11758,4.11,51.52,11741.25,24.44,12.2,358.27,2.77,358.48,88.05
11852,10.91,29.71,11834.4,34.52,22.04,365.33,7.72,366,86.55
11947,16.98,13.1,11926.59,56.12,43.39,372.95,7.59,375.46,83.36
12041,22.49,1.48,12015.07,87.61,74.77,376.53,7.17,383.88,78.77
12135,27.37,354.41,12100.31,127.04,114.28,374.89,6.07,391.92,73.05
12230,34.35,349.14,12181.82,174.89,162.4,367.7,7.87,401.97,66.17
12325,39.28,351.45,12257.86,230.62,218.5,358.17,5.39,419.56,58.61
12419,44.8,351.57,12327.64,292.51,280.74,348.89,5.87,447.81,51.18
12513,53.6,354.15,12389.01,362.71,351.28,340.16,9.58,488.98,44.08
12545,57.37,355.15,12407.14,388.85,377.52,337.71,12.07,506.53,41.81
12645,65.37,358.67,12455.02,476.2,465.08,333.09,8.58,572.06,35.61
12709,69.25,358.64,12479.7,535.14,524.1,331.7,6.06,620.25,32.33
12803,76.5,359.99,12507.37,624.82,613.87,330.64,7.83,697.25,28.31
12897,86.64,2.64,12521.13,717.67,706.7,332.8,11.15,781.14,25.22
12992,92.65,4.32,12521.72,812.58,801.47,338.56,6.56,870.05,22.9
13086,93.53,4.67,12516.65,906.36,895.05,345.91,1.01,959.57,21.13
13181,92.85,4.08,12511.36,1001.12,989.62,353.15,0.94,1050.75,19.64
13276,92.65,3.96,12506.8,1095.95,1084.28,359.81,0.25,1142.42,18.36
13370,92.55,5.17,12502.53,1189.76,1177.88,367.28,1.29,1233.82,17.32
13465,94.4,5.8,12496.77,1284.4,1272.27,376.35,2.06,1326.77,16.48
13559,90.77,7.5,12492.53,1377.97,1365.52,387.22,4.26,1419.36,15.83
13653,87.75,5.45,12493.74,1471.65,1458.9,397.81,3.88,1512.17,15.25
13748,86.07,5.64,12498.86,1566.33,1553.32,406.98,1.78,1605.75,14.68
13842,85.87,6.33,12505.46,1659.86,1646.57,416.75,0.76,1698.49,14.2
13937,85.5,2.28,12512.61,1754.49,1741.01,423.86,4.27,1791.87,13.68
14031,88.66,0.92,12517.4,1848.35,1834.84,426.48,3.66,1883.75,13.09
14126,89.97,1.6,12518.54,1943.34,1929.81,428.57,1.55,1976.82,12.52
14220,90.4,1.86,12518.23,2037.34,2023.77,431.41,0.54,2069.24,12.03
14315,90.81,2.36,12517.23,2132.33,2118.7,434.91,0.67,2162.87,11.6
14409,89.73,2.27,12516.79,2226.33,2212.62,438.71,1.15,2255.69,11.21
14503,89.23,2.42,12517.64,2320.32,2306.53,442.55,0.56,2348.61,10.86
14598,89.2,2.84,12518.95,2415.3,2401.42,446.91,0.45,2442.66,10.54
14692,90.07,4.2,12519.55,2509.26,2495.24,452.69,1.72,2535.97,10.28
14787,90.03,3.05,12519.47,2604.22,2590.05,458.69,1.22,2630.35,10.04
14881,91.84,3.49,12517.93,2698.18,2683.88,464.05,1.98,2723.7,9.81
14976,85.53,2.21,12520.11,2793.09,2778.69,468.78,6.78,2817.95,9.58
15071,86.81,1.46,12526.45,2887.88,2873.42,471.81,1.57,2911.9,9.32
15165,87.99,1.74,12530.72,2981.78,2967.29,474.44,1.28,3004.98,9.08
15260,89.7,2.74,12532.64,3076.75,3062.19,478.15,2.09,3099.3,8.87
15354,89.63,2.25,12533.19,3170.75,3156.1,482.25,0.53,3192.73,8.69
15449,90.87,3.51,12532.77,3265.73,3250.98,487.01,1.86,3287.25,8.52
15543,88.39,2.54,12533.37,3359.71,3344.84,491.97,2.84,3380.82,8.37
15638,87.25,2.72,12536.99,3454.63,3439.67,496.32,1.22,3475.29,8.21
15733,87.38,3.6,12541.44,3549.5,3534.42,501.54,0.94,3569.82,8.08
15827,87.48,2.01,12545.66,3643.39,3628.21,506.13,1.7,3663.34,7.94
15922,89.5,359.22,12548.16,3738.32,3723.15,507.14,3.62,3757.53,7.76
16016,91.21,358.94,12547.58,3832.2,3817.14,505.63,1.85,3850.48,7.55
16110,90.77,359.14,12545.95,3926.06,3911.11,504.05,0.51,3943.46,7.34
16236,93.47,359.24,12541.3,4051.82,4037,502.27,2.14,4068.12,7.09
16331,90.97,358.28,12537.62,4146.59,4131.9,500.22,2.82,4162.06,6.9
16425,89.66,359.86,12537.1,4240.46,4225.88,498.69,2.18,4255.2,6.73
16520,91.47,1.33,12536.15,4335.42,4320.86,499.67,2.45,4349.66,6.6
16615,90.27,2.82,12534.71,4430.41,4415.78,503.11,2.02,4444.35,6.5
16709,86.64,1.28,12537.24,4524.35,4509.67,506.47,4.19,4538.02,6.41
16804,86,0.66,12543.33,4619.14,4604.46,508.07,0.94,4632.41,6.3
16898,86.61,0.19,12549.39,4712.91,4698.26,508.77,0.82,4725.73,6.18
16993,87.14,0.9,12554.56,4807.74,4793.12,509.67,0.93,4820.14,6.07
17087,87.32,2.13,12559.1,4901.63,4886.97,512.15,1.32,4913.73,5.98
17182,89.16,1.63,12562.02,4996.58,4981.87,515.26,2.01,5008.45,5.9
17276,87.46,0.87,12564.79,5090.53,5075.8,517.32,1.99,5102.1,5.82
17371,89.6,0.73,12567.23,5185.47,5170.76,518.64,2.26,5196.7,5.73
17465,90.87,2.37,12566.85,5279.46,5264.72,521.18,2.21,5290.45,5.65
17560,90.44,0.81,12565.77,5374.45,5359.67,523.81,1.7,5385.21,5.58
17654,89.4,3.08,12565.91,5468.44,5453.61,527,2.65,5479.01,5.52
17749,88.89,3.16,12567.32,5563.41,5548.46,532.17,0.53,5573.92,5.48
17843,89.8,3.04,12568.4,5657.39,5642.31,537.25,0.97,5667.83,5.44
17938,90.23,3.67,12568.37,5752.36,5737.15,542.82,0.81,5762.77,5.4
18032,92.01,4.92,12566.53,5846.26,5830.86,549.86,2.31,5856.73,5.39
18127,89.93,4.06,12564.91,5941.14,5925.55,557.29,2.37,5951.7,5.37
18221,88.53,2.05,12566.18,6035.11,6019.4,562.3,2.61,6045.61,5.34
18316,88.08,2.42,12568.99,6130.07,6114.29,566.01,0.61,6140.43,5.29
18410,90.74,1.41,12569.96,6224.05,6208.22,569.15,3.02,6234.25,5.24
18505,90.07,3.33,12569.29,6319.04,6303.13,573.08,2.14,6329.13,5.2
18600,94.81,4.13,12565.25,6413.88,6397.82,579.25,5.07,6423.99,5.17
18694,93.87,1.6,12558.13,6507.59,6491.42,583.94,2.86,6517.63,5.14
18789,89.63,1.47,12555.23,6602.53,6586.32,586.49,4.46,6612.38,5.09
18883,87.78,0.78,12557.35,6696.49,6680.27,588.33,2.1,6706.13,5.03
18978,83.18,358.42,12564.84,6791.08,6774.94,587.68,5.44,6800.38,4.96
19072,83.78,359.58,12575.52,6884.35,6868.32,586.06,1.39,6893.28,4.88
19167,85.33,358.13,12584.53,6978.77,6962.87,584.17,2.23,6987.33,4.8
19261,90.07,359.91,12588.3,7072.54,7056.75,582.57,5.38,7080.75,4.72
19356,92.35,2.28,12586.3,7167.5,7151.7,584.38,3.46,7175.53,4.67
19450,91.85,1.76,12582.86,7261.43,7245.57,587.69,0.76,7269.37,4.64
19545,91.68,1.82,12579.94,7356.39,7340.48,590.66,0.19,7364.21,4.6
19639,92.08,1.79,12576.86,7450.34,7434.38,593.62,0.43,7458.05,4.57
19734,87.01,1.48,12577.61,7545.3,7529.31,596.33,5.35,7552.89,4.53
19828,87.24,2.29,12582.32,7639.18,7623.14,599.42,0.89,7646.67,4.5
19923,89.4,2.81,12585.11,7734.13,7718,603.64,2.33,7741.57,4.47
20017,88.39,1.27,12586.92,7828.11,7811.92,606.98,1.96,7835.47,4.44
20112,89.73,3.25,12588.48,7923.09,7906.83,610.73,2.52,7930.38,4.42
20206,90.91,4.05,12587.95,8017.04,8000.63,616.71,1.51,8024.37,4.41
20300,90.23,3.28,12587.02,8111,8094.43,622.71,1.09,8118.35,4.4
20395,89.09,1.8,12587.58,8205.99,8189.34,626.92,1.97,8213.3,4.38
20489,88.66,1.37,12589.42,8299.97,8283.28,629.52,0.65,8307.17,4.35
20583,88.63,2.32,12591.65,8393.94,8377.2,632.55,1.01,8401.05,4.32
20678,89.53,3.85,12593.18,8488.9,8472.05,637.67,1.87,8496.01,4.3
20773,87.15,2.71,12595.93,8583.83,8566.85,643.1,2.78,8590.95,4.29
20868,88.25,2.99,12599.74,8678.74,8661.65,647.82,1.2,8685.84,4.28
20962,88.49,2.08,12602.42,8772.7,8755.52,651.97,1,8779.76,4.26
21056,90.3,1.67,12603.41,8866.69,8849.46,655.04,1.98,8873.67,4.23
21151,90.91,1.45,12602.41,8961.68,8944.42,657.62,0.68,8968.56,4.21
21245,91.51,0.83,12600.42,9055.65,9038.38,659.49,0.92,9062.41,4.17
21340,92.25,0.98,12597.3,9150.58,9133.32,661,0.79,9157.2,4.14
21434,90.71,2.22,12594.88,9244.54,9227.24,663.61,2.1,9251.08,4.11
21528,88.22,0.33,12595.76,9338.52,9321.2,665.7,3.32,9344.95,4.09
21623,90.03,3.46,12597.2,9433.49,9416.13,668.84,3.8,9439.85,4.06
21717,88.86,4.31,12598.11,9527.43,9509.9,675.21,1.54,9533.84,4.06
21811,88.66,2.76,12600.15,9621.37,9603.7,681,1.65,9627.81,4.06
21906,87.48,359.63,12603.35,9716.3,9698.61,682.98,3.53,9722.63,4.03
22000,88.19,359.93,12606.91,9810.16,9792.54,682.61,0.82,9816.31,3.99
22094,89.33,0.16,12608.94,9904.08,9886.52,682.69,1.24,9910.06,3.95
22189,89.6,0.77,12609.83,9999.05,9981.51,683.46,0.7,10004.88,3.92
22283,88.76,1.62,12611.18,10093.03,10075.48,685.42,1.27,10098.77,3.89
22378,89.56,1.69,12612.57,10188.02,10170.43,688.17,0.85,10193.68,3.87
22472,89.97,1.47,12612.95,10282.01,10264.39,690.77,0.49,10287.61,3.85
22566,89.03,1.93,12613.78,10376.01,10358.35,693.55,1.11,10381.54,3.83
22661,88.26,1.75,12616.03,10470.98,10453.27,696.6,0.83,10476.45,3.81
22755,88.42,1.41,12618.75,10564.94,10547.19,699.18,0.4,10570.34,3.79
22849,89.2,1.52,12620.7,10658.91,10641.14,701.59,0.83,10664.25,3.77
22944,89.1,0.95,12622.12,10753.89,10736.11,703.64,0.61,10759.14,3.75
23038,89.26,0.41,12623.47,10847.86,10830.09,704.76,0.61,10853,3.72
23132,89.93,0.81,12624.13,10941.83,10924.08,705.76,0.83,10946.86,3.7
23227,90.6,359.49,12623.68,11036.78,11019.08,706,1.56,11041.67,3.67
23321,91.68,0.83,12621.81,11130.71,11113.06,706.26,1.82,11135.48,3.64
23416,92.65,0.64,12618.22,11225.62,11207.98,707.48,1.05,11230.29,3.61
23510,94.53,1.7,12612.33,11319.42,11301.77,709.39,2.3,11324.01,3.59
23579,94.57,0.71,12606.85,11388.2,11370.54,710.85,1.43,11392.74,3.58
23636,94.57,0.71,12602.31,11445,11427.35,711.55,0,11449.48,3.56
